source, related_video_name, target, channel_title, channel_id, published_at, thumbnail_url, type
query result,Teste de Fidelidade Nova Sedutora 2014,h3JigdoBJSA,Teste De Fidelidade - 2014,UC7XSLtn7SpLM1Bz7V-Vlt1g,2014-09-26T01:54:40.000Z,https://i.ytimg.com/vi/h3JigdoBJSA/default.jpg,video
query result,Um Teste de Cor que Pode Dizer a Sua Idade Mental,HrvTsw8GLMI,INCRÍVEL,UCIQPHl1WKKTt9KkWyo_JNig,2018-02-21T22:40:47.000Z,https://i.ytimg.com/vi/HrvTsw8GLMI/default.jpg,video
query result,QUAL É A SUA EMOÇÃO DOMINANTE? TESTE PSICOLÓGICO E PERSONALIDADE,VmyEQ-eKYTQ,IncrivelMente Curiosa,UC2i-nZqZoZkkAE816Z0FZvw,2018-04-14T00:08:02.000Z,https://i.ytimg.com/vi/VmyEQ-eKYTQ/default.jpg,video
query result,Teste de Fidelidade 49,LFH--dpUhYc,Mais Uberlandia TV,UCeT0aFlAJjF-BIubIAah4OQ,2019-03-07T21:45:00.000Z,https://i.ytimg.com/vi/LFH--dpUhYc/default.jpg,video
query result,SEU CÉREBRO É FORTE O BASTANTE? TESTE SEU CÉREBRO COM ESTAS 12 CHARADAS LÓGICAS,15tlNyAUGIs,CHARADAS EM 7 SEGUNDOS,UC7vv9jL_vFMuMtxbnFLaLRw,2019-07-29T23:00:01.000Z,https://i.ytimg.com/vi/15tlNyAUGIs/default.jpg,video
query result,Islam facing off with LGBT in Britain after arrest from viral Pride video | Ezra Levant,9sjST5601wc,Rebel Media,UCGy6uV7yqGWDeUWTZzT3ZEg,2019-07-30T16:20:15.000Z,https://i.ytimg.com/vi/9sjST5601wc/default.jpg,video
query result,LGBT Short Film 2019 | The Way I Still Love You (Music Video),RX1aDVJaq0A,LGBT OFFICIAL,UCeKLzmPnOWvqWa2QsEfVFFA,2019-06-18T14:28:33.000Z,https://i.ytimg.com/vi/RX1aDVJaq0A/default.jpg,video
query result,VLOG PARADA LGBT SÃO PAULO l LGBT PRIDE BRAZIL #LGBTpride,VjnECFQE5ZA,Brenda Gasparoto,UCHiKP3dFr6c9wVoxHva_sLg,2019-06-25T21:00:03.000Z,https://i.ytimg.com/vi/VjnECFQE5ZA/default.jpg,video
query result,SE VC TEM FILHO(A) LGBT ASSISTA ISSO,6ciuD9TIMJA,SAPATOMICA,UCNjZbyzDghxdA-Ecpcl2fWw,2016-11-09T05:12:57.000Z,https://i.ytimg.com/vi/6ciuD9TIMJA/default.jpg,video
query result,Jair Bolsonaro fala sobre o movimento LGBT | Pânico,deSUhcOC_CE,Pânico Jovem Pan,UC9U4nIDyIzzelXrjNQXNvxA,2016-12-16T18:19:53.000Z,https://i.ytimg.com/vi/deSUhcOC_CE/default.jpg,video
query result,Defining LGBTQ,tRvFj3ugdWU,It Takes Courage,UCgxQLDeggMPvVxHCmPxo9sg,2016-08-21T01:39:25.000Z,https://i.ytimg.com/vi/tRvFj3ugdWU/default.jpg,video
query result,CHAPSTICK CHALLENGE | LGBTQ,EbBwTC1x-xQ,Karin & Skyler,UCqu6wvCJTEnnw_qBlCdsvYg,2018-02-20T23:27:27.000Z,https://i.ytimg.com/vi/EbBwTC1x-xQ/default.jpg,video
query result,A SIGLA LGBTQIA - Lorelay Fox,bKl2LQUuD5s,Para Tudo,UC-NW3bCGpuJm6fz-9DyXMjg,2019-02-21T21:30:02.000Z,https://i.ytimg.com/vi/bKl2LQUuD5s/default.jpg,video
query result,7 CRIANÇAS QUE PROVAM QUE: EXISTE CRIANÇA LGBTQ! - Lucca Najar,pWROhMthNio,Lucca Najar,UC33ODj_jViL2YEkPM7yF0Iw,2018-08-15T21:51:34.000Z,https://i.ytimg.com/vi/pWROhMthNio/default.jpg,video
query result,"LGBTQ+ Conservatives and Progressives Debate The Word &quot;Queer&quot;, Military Bans, Etc (Part 1/2)",utW1ItcMeJw,VICE,UCn8zNIfYAQNdrFRrr8oibKw,2019-06-27T23:00:04.000Z,https://i.ytimg.com/vi/utW1ItcMeJw/default.jpg,video
query result,What does LGBTIQ mean (BBC Hindi),RpP1JvD-9q8,BBC News Hindi,UCN7B-QD0Qgn2boVH5Q0pOWg,2016-05-03T09:24:19.000Z,https://i.ytimg.com/vi/RpP1JvD-9q8/default.jpg,video
query result,A Therapy Session For Homophobic People,kK_kc2IhcLE,IISuperwomanII,UCfm4y4rHF5HGrSr-qbvOwOg,2018-06-18T22:33:48.000Z,https://i.ytimg.com/vi/kK_kc2IhcLE/default.jpg,video
query result,Yakap (Embrace) - LGBTQ Short Film,DbQhOWM6mfM,Margo Manalo,UCL4cn2bWu-EFd2YFC9YYdWw,2018-10-27T07:14:44.000Z,https://i.ytimg.com/vi/DbQhOWM6mfM/default.jpg,video
query result,100 DIFFERENT WAYS TO COME OUT ...ALMOST,kYEBTac8qmw,Kovu Kingsrod,UCYkXsiSerUoIqayxAgrcowQ,2017-06-11T13:26:07.000Z,https://i.ytimg.com/vi/kYEBTac8qmw/default.jpg,video
query result,My LGBT Journey| Pride Month 2019,QNyTnmUbiDk,abimakesart,UChRBM4ktcp2CDoCg7-w8c2w,2019-06-01T18:10:48.000Z,https://i.ytimg.com/vi/QNyTnmUbiDk/default.jpg,video
query result,A Therapy Session For Homophobic People,kK_kc2IhcLE,IISuperwomanII,UCfm4y4rHF5HGrSr-qbvOwOg,2018-06-18T22:33:48.000Z,https://i.ytimg.com/vi/kK_kc2IhcLE/default.jpg,video
query result,I Saved My Gay Friend With A Kiss,-CiIMjbZiT8,MinuteVideos,UCAsLjyYl9GW66G1mpMzr8IA,2019-03-12T09:33:44.000Z,https://i.ytimg.com/vi/-CiIMjbZiT8/default.jpg,video
query result,Gender and Sexuality Animation,mtYuUL3OdUY,Kaleido Quail,UCeQoVJYw8xLXmw00ZM2DVbw,2017-09-29T21:23:45.000Z,https://i.ytimg.com/vi/mtYuUL3OdUY/default.jpg,video
query result,Stranger Things Season 3 Review and Season 4 Theories! | Evan Edinger & Connie Glynn,KdtNB7eJJ_0,Evan Edinger,UCT7H_xchRHaT9zr5GalIZVA,2019-07-28T20:19:09.000Z,https://i.ytimg.com/vi/KdtNB7eJJ_0/default.jpg,video
query result,This is Me LGBTQIA Anthem,s5l0yIZLNp8,Marco-Amar Drummond,UCPCTis7dEA6oWnT4g7piP_Q,2018-03-14T05:46:57.000Z,https://i.ytimg.com/vi/s5l0yIZLNp8/default.jpg,video
-CiIMjbZiT8,"I Thought My Dad Was Cheating, but the Truth Was Even Worse",9qFvkon16Iw,MinuteVideos,UCAsLjyYl9GW66G1mpMzr8IA,2019-03-12T06:05:11.000Z,https://i.ytimg.com/vi/9qFvkon16Iw/default.jpg,video
-CiIMjbZiT8,"I'm A Tomboy, And No One Wants To Date Me",OPJQU1aHZXo,ACTUALLY HAPPENED,UCGDV4-Gr3gyc-eGCgRtXknw,2018-12-01T15:30:21.000Z,https://i.ytimg.com/vi/OPJQU1aHZXo/default.jpg,video
-CiIMjbZiT8,9 Types of Friends at Your House,g5qA3UC8nYc,Trevmonki,UCLumW8BckP0H9m1FdncNkMw,2019-03-09T21:18:49.000Z,https://i.ytimg.com/vi/g5qA3UC8nYc/default.jpg,video
-CiIMjbZiT8,Comics Showing a Relationship in the First Month vs a Year Later - Ep 1,7ocXJ_s2Maw,Mini Viral,UCpfHlzc9ETn5VFg5CV184aQ,2018-10-17T09:13:16.000Z,https://i.ytimg.com/vi/7ocXJ_s2Maw/default.jpg,video
query result,Defining LGBTQ,tRvFj3ugdWU,It Takes Courage,UCgxQLDeggMPvVxHCmPxo9sg,2016-08-21T01:39:25.000Z,https://i.ytimg.com/vi/tRvFj3ugdWU/default.jpg,video
query result,CHAPSTICK CHALLENGE | LGBTQ,EbBwTC1x-xQ,Karin & Skyler,UCqu6wvCJTEnnw_qBlCdsvYg,2018-02-20T23:27:27.000Z,https://i.ytimg.com/vi/EbBwTC1x-xQ/default.jpg,video
query result,A SIGLA LGBTQIA - Lorelay Fox,bKl2LQUuD5s,Para Tudo,UC-NW3bCGpuJm6fz-9DyXMjg,2019-02-21T21:30:02.000Z,https://i.ytimg.com/vi/bKl2LQUuD5s/default.jpg,video
query result,7 CRIANÇAS QUE PROVAM QUE: EXISTE CRIANÇA LGBTQ! - Lucca Najar,pWROhMthNio,Lucca Najar,UC33ODj_jViL2YEkPM7yF0Iw,2018-08-15T21:51:34.000Z,https://i.ytimg.com/vi/pWROhMthNio/default.jpg,video
query result,What is like to be LGBTQ?,lohnUd0715w,Jerwyn Guintu,UC9ZNBSINkxqyFx6kQSXXrQQ,2016-07-03T12:09:26.000Z,https://i.ytimg.com/vi/lohnUd0715w/default.jpg,video
tRvFj3ugdWU,What does LGBTIQ mean (BBC Hindi),RpP1JvD-9q8,BBC News Hindi,UCN7B-QD0Qgn2boVH5Q0pOWg,2016-05-03T09:24:19.000Z,https://i.ytimg.com/vi/RpP1JvD-9q8/default.jpg,video
tRvFj3ugdWU,A Therapy Session For Homophobic People,kK_kc2IhcLE,IISuperwomanII,UCfm4y4rHF5HGrSr-qbvOwOg,2018-06-18T22:33:48.000Z,https://i.ytimg.com/vi/kK_kc2IhcLE/default.jpg,video
tRvFj3ugdWU,Yakap (Embrace) - LGBTQ Short Film,DbQhOWM6mfM,Margo Manalo,UCL4cn2bWu-EFd2YFC9YYdWw,2018-10-27T07:14:44.000Z,https://i.ytimg.com/vi/DbQhOWM6mfM/default.jpg,video
tRvFj3ugdWU,100 DIFFERENT WAYS TO COME OUT ...ALMOST,kYEBTac8qmw,Kovu Kingsrod,UCYkXsiSerUoIqayxAgrcowQ,2017-06-11T13:26:07.000Z,https://i.ytimg.com/vi/kYEBTac8qmw/default.jpg,video
tRvFj3ugdWU,My LGBT Journey| Pride Month 2019,QNyTnmUbiDk,abimakesart,UChRBM4ktcp2CDoCg7-w8c2w,2019-06-01T18:10:48.000Z,https://i.ytimg.com/vi/QNyTnmUbiDk/default.jpg,video
kYEBTac8qmw,Gender and Sexuality Animation,mtYuUL3OdUY,Kaleido Quail,UCeQoVJYw8xLXmw00ZM2DVbw,2017-09-29T21:23:45.000Z,https://i.ytimg.com/vi/mtYuUL3OdUY/default.jpg,video
kYEBTac8qmw,How Would Jesus Treat the Gay Couple Next Door?,Wj3VDvbmMJs,Hugh Halter,UCtI--jcxllMNAfD-VhNv9_g,2015-07-01T17:05:48.000Z,https://i.ytimg.com/vi/Wj3VDvbmMJs/default.jpg,video
kYEBTac8qmw,Coming Out to My Christian Mom | Live Phone Call,zMbbVGkHzzA,WhySoShayD,UCrF73mnKfH0LlP-6Fa6TcUw,2017-02-26T23:14:00.000Z,https://i.ytimg.com/vi/zMbbVGkHzzA/default.jpg,video
kYEBTac8qmw,Invisible - Episode 2 - Back In The Fold,M3FO3j2z5Tk,Iris,UC7duzDwGoGU6S51Qyask0kA,2016-11-18T17:54:24.000Z,https://i.ytimg.com/vi/M3FO3j2z5Tk/default.jpg,video
tRvFj3ugdWU,What does LGBTIQ mean (BBC Hindi),RpP1JvD-9q8,BBC News Hindi,UCN7B-QD0Qgn2boVH5Q0pOWg,2016-05-03T09:24:19.000Z,https://i.ytimg.com/vi/RpP1JvD-9q8/default.jpg,video
tRvFj3ugdWU,A Therapy Session For Homophobic People,kK_kc2IhcLE,IISuperwomanII,UCfm4y4rHF5HGrSr-qbvOwOg,2018-06-18T22:33:48.000Z,https://i.ytimg.com/vi/kK_kc2IhcLE/default.jpg,video
tRvFj3ugdWU,Yakap (Embrace) - LGBTQ Short Film,DbQhOWM6mfM,Margo Manalo,UCL4cn2bWu-EFd2YFC9YYdWw,2018-10-27T07:14:44.000Z,https://i.ytimg.com/vi/DbQhOWM6mfM/default.jpg,video
tRvFj3ugdWU,100 DIFFERENT WAYS TO COME OUT ...ALMOST,kYEBTac8qmw,Kovu Kingsrod,UCYkXsiSerUoIqayxAgrcowQ,2017-06-11T13:26:07.000Z,https://i.ytimg.com/vi/kYEBTac8qmw/default.jpg,video
tRvFj3ugdWU,My LGBT Journey| Pride Month 2019,QNyTnmUbiDk,abimakesart,UChRBM4ktcp2CDoCg7-w8c2w,2019-06-01T18:10:48.000Z,https://i.ytimg.com/vi/QNyTnmUbiDk/default.jpg,video
